state,total
Alabama,1
Alaska,3
Arizona,77
Arkansas,8
California,22
Colorado,31
Connecticut,0
Delaware,0
District of Columbia,1
Florida,6
Georgia,10
Hawaii,2
Idaho,9
Illinois,12
Indiana,10
Iowa,8
Kansas,90
Kentucky,14
Louisiana,2
Maine,0
Maryland,3
Massachusetts,0
Michigan,28
Minnesota,20
Mississippi,0
Missouri,7
Montana,32
Nebraska,1
Nevada,0
New Hampshire,0
New Jersey,10
New Mexico,100
New York,26
North Carolina,1
North Dakota,36
Ohio,43
Oklahoma,17
Oregon,1
Pennsylvania,13
Puerto Rico,0
Rhode Island,1
South Carolina,19
South Dakota,12
Tennessee,7
Texas,802
U.S.,1603
Utah,57
Vermont,1
Virginia,4
Washington,11
West Virginia,0
Wisconsin,36
Wyoming,9
